asin, reviewerID, overall, unixReviewTime
1384719342,A2IBPI20UZIR0U,5.0,1393545600
1384719342,A14VAT5EAX3D9S,5.0,1363392000
1384719342,A195EZSQDW3E21,5.0,1377648000
1384719342,A2C00NNG1ZQQG2,5.0,1392336000
1384719342,A94QU4C90B1AX,5.0,1392940800
B00004Y2UT,A2A039TZMZHH9Y,5.0,1356048000
B00004Y2UT,A1UPZM995ZAH90,5.0,1390089600
B00004Y2UT,AJNFQI3YR6XJ5,3.0,1353024000
B00004Y2UT,A3M1PLEYNDEYO8,5.0,1215302400
B00004Y2UT,AMNTZU1YQN1TH,5.0,1389139200
B00004Y2UT,A2NYK9KWFMJV4Y,5.0,1334793600
B00005ML71,A35QFQI0M46LWO,4.0,1398124800
B00005ML71,A2NIT6BKW11XJQ,3.0,1384646400
B00005ML71,A1C0O09LOLVI39,5.0,1371340800
B00005ML71,A17SLR18TUMULM,5.0,1356912000
B00005ML71,A2PD27UKAD3Q00,2.0,1376697600
B000068NSX,AKSFZ4G1AXYFC,4.0,1376352000
B000068NSX,A67OJZLHBBUQ9,5.0,1373328000
B000068NSX,A2EZWZ8MBEDOLN,5.0,1363564800
B000068NSX,A1CL807EOUPVP1,5.0,1375833600
B000068NSX,A1GMWTGXW682GB,4.0,1331856000
B000068NSX,A2G12DY50U700V,5.0,1390953600
B000068NSX,A3E0CF25A7LD2,4.0,1354924800
B000068NTU,A2W3CLAYZLDPTV,5.0,1341446400
B000068NTU,A398X9POBHK69N,5.0,1383177600
B000068NTU,AXWB93VKVML6K,4.0,1372809600
B000068NTU,A2FZ4Z0UFA1OR8,5.0,1327449600
B000068NTU,AXP9CF1UTFRSU,5.0,1381795200
B000068NVI,A2CCGGDGZ694CT,4.0,1341964800
B000068NVI,A27DR1VO079F1V,5.0,1392768000
B000068NVI,A1LQC225SE8UNI,5.0,1337990400
B000068NVI,AU9BPT3Y3K6J4,5.0,1376092800
B000068NVI,A14Z9LAETO21KL,4.0,1394496000
B000068NVI,A2074KEJGRYJV4,5.0,1379289600
B000068NVI,A7TRK2GG6BHWD,5.0,1325808000
B000068NVI,A319B090A2POEB,4.0,1329004800
B000068NVI,A396ELNTQDFYPO,4.0,1379289600
B000068NVI,A17CU1D2CWXOHB,4.0,1387065600
B000068NVI,A1S0HTDO0P4N5V,5.0,1379376000
B000068NVI,A3DWQW2L39RB1S,4.0,1355443200
B000068NVI,AQQ91U1U4YKDF,5.0,1372464000
B000068NW5,AA5TINW2RJ195,5.0,1405382400
B000068NW5,ABC68JUCPTVOE,5.0,1333152000
B000068NW5,A3W2E6S24BTXXK,5.0,1401235200
B000068NW5,A3872Y2XH0YDX1,5.0,1363132800
B000068NW5,A398X9POBHK69N,4.0,1388966400
B000068NW5,A13A81NN0NRD1S,4.0,1290038400
B000068NW5,A1EUO0BU72JR7T,5.0,1372291200
B000068NW5,A1H4WSC8JWS59N,5.0,1359504000
B000068NW5,A3OXHLG6DIBRW8,5.0,1346803200
B000068NW5,A12ABV9NU02O29,2.0,1309910400
B000068NW5,A2U1Z3TZ4P76JB,5.0,1393977600
B000068NW5,A1L7M2JXN4EZCR,1.0,1391904000
B000068NW5,A37A41GWQFMK3D,4.0,1370649600
B000068NW5,A2JK2ITE138P7Z,5.0,1399939200
B000068NW5,A1DVUFG2QSJ6IK,5.0,1381190400
B000068NW5,A34VZEFXQJJ7AT,5.0,1374710400
B000068NW5,A1SD1C8XK3Z3V1,5.0,1392163200
B000068NW5,AKHWZ3S1UVZAO,4.0,1397779200
B000068NW5,A3LNNEYLGGCO25,3.0,1404518400
B000068NW5,AMACM7BGUQCZD,5.0,1390521600
B000068NW5,A38HMS5RYSYF8G,5.0,1389571200
B000068NW5,A6D91KPQGIDKZ,5.0,1343001600
B000068NW5,A2RCCN4KEXZGC8,5.0,1377388800
B000068NW5,A3GAP455S8YH0M,5.0,1373068800
B000068NW5,A1N06X05VZWO5Y,5.0,1391385600
B000068NW5,A3TA1UJWRJF9NC,5.0,1293580800
B000068NW5,A3VPISTBNS66C5,4.0,1359072000
B000068NW5,A1E5FQZTUM8OC1,5.0,1373846400
B000068NW5,A3MYWHYZ30WLQJ,5.0,1377734400
B000068NW5,A1FHOW9NVOH8XR,5.0,1359936000
B000068NW5,A319B090A2POEB,3.0,1329004800
B000068NW5,A2VH0UT5EQFB6P,5.0,1389830400
B000068NW5,A396ELNTQDFYPO,4.0,1358726400
B000068NW5,A2WYAHJGST6AOT,3.0,1393372800
B000068NW5,A781ITP3HE2N5,5.0,1380844800
B000068NW5,AN73VQ17FZVJ8,3.0,1371168000
B000068NW5,ALUTHT4U058KZ,4.0,1334620800
B000068NW5,A1A15ECLHM9BQY,5.0,1404950400
B000068NW5,A1S8R9OAIQT7YI,4.0,1403913600
B000068NW5,A3RHT4KI3H5TVH,5.0,1379894400
B000068NW5,AVY8D3ULJTX0H,5.0,1357603200
B000068NW5,A15BHBF0L0HV1F,5.0,1320192000
B000068NW5,A1AFN4T80DZ3RR,5.0,1383868800
B000068NW5,A3DCG2MNPR4BW,5.0,1369180800
B000068NW5,A3NGAQKJ6X088B,5.0,1402876800
B000068NW5,A35XRT4BW4I6UD,5.0,1346976000
B000068NW5,AKYDGCKCY7H9F,5.0,1381363200
B000068NW5,A19NGYCQ1NCF3W,4.0,1295568000
B000068NW5,A3UD50M7M72150,1.0,1394755200
B000068NW5,A2B78RXJ2PB6ZD,5.0,1328313600
B000068NW5,A18RGYRCEN181M,5.0,1386633600
B000068NW5,A18LZ6VHS4DK69,5.0,1360886400
B000068NZC,AQG6AQXC703WD,3.0,1395792000
B000068NZC,A2YGWCX3DQ6ER0,5.0,1372550400
B000068NZC,A21VM9WVF8EOSJ,5.0,1323129600
B000068NZC,A3M48SSAOTBSMW,5.0,1335312000
B000068NZC,AFLRU6952DEFX,4.0,1396828800
B000068NZC,A1W3CEEQBJ4GTN,2.0,1379289600
B000068NZC,AXP9CF1UTFRSU,5.0,1369526400
B000068NZG,A1IR3NR4KRPIJ1,5.0,1371686400
B000068NZG,A2NYK9KWFMJV4Y,5.0,1372118400
B000068NZG,A2RS66Y79Q8X0W,5.0,1400716800
B000068NZG,A34IJACMU8C3IM,4.0,1229299200
B000068NZG,A2WYF4POBUXL2O,4.0,1356825600
B000068O1N,A3UPEG3LRWOX16,4.0,1387929600
B000068O1N,A2QJQ3HSJB4NS,5.0,1358035200
B000068O1N,A1MVH1WLYDHZ49,5.0,1384128000
B000068O1N,A2XXBZPQT5EXHV,5.0,1392595200
B000068O1N,A204ETWOV23HO4,5.0,1373500800
B000068O1N,A203OCQQ12MAVT,5.0,1318723200
B000068O1N,A319B090A2POEB,5.0,1329004800
