Product ID,Description,price,Category
0,Mouse on the Mayflower [VHS],0.0,Children's Music
1,Woodstock 99 [VHS],5.23,Rock
2,G3 - Live in Concert,11.98,Metal
3,Jeff Buckley - Live in Chicago,12.38,Singer-Songwriters
4,Herbert Von Karajan - His Legacy for Home Video - Mozart - Don Giovanni,11.98,Symphonies
5,"Elmo's World - Babies, Dogs &amp; More! [VHS]",14.95,Children's Music
6,Cinderelmo [VHS],4.41,Children's Music
7,The Master Drummer,22.28,Instructional
8,Whatever it Takes: The &quot;She Said Yes&quot; Video Tribute to Cassie Bernall by Her Friends [VHS],11.71,Pop & Contemporary
9,Riverdance - Live From New York City,25.45,Celtic New Age
10,Madeline [VHS],1.39,Children's Music
11,Bear in the Big Blue House - Potty Time with Bear [VHS],10.85,Children's Music
12,Carole King - In Concert,15.18,Adult Contemporary
13,Great Pas De Deux [VHS],4.95,Classical
14,"Mozart - Don Giovanni / Kreizberg, Cachemaille, Glyndebourne Festival Opera [VHS]",14.62,Classical
15,"Verdi - I Lombardi / Gavazzeni, Carreras, Dimitrova, La Scala [VHS]",23.93,Classical
16,"Puccini - La Fanciulla del West / Santi, Domingo, Neblett, Royal Opera Covent Garden [VHS]",20.19,Classical
17,"Handel - Theodora / Christie, Upshaw, Daniels, Glyndebourne Festival Opera [VHS]",11.0,Classical
18,Spartacus [VHS],20.92,Classical
19,M [VHS],14.69,Children's Music
20,Teenage Mutant Ninja Turtles - The Original Movie [VHS],2.99,Children's Music
21,Stomp Out Loud [VHS],3.75,Soundtracks
22,The Land Before Time VI - The Secret of Saurus Rock [VHS],4.95,Children's Music
23,"Verdi - La Traviata / Levine, Stratas, Domingo",29.98,Classical
24,American Tail [VHS],14.75,Children's Music
25,American Tail: Fievel Goes West [VHS],8.63,Children's Music
26,The Doors Collection (Collector's Edition),14.42,Rock
27,Music Scene - The Best of 1969-70,13.48,Classic Country
28,"Hullabaloo, Vols. 1-4",12.73,British Invasion
29,Bambi (Walt Disney's Masterpiece) [VHS],6.94,Disney
30,Peter Pan (45th Anniversary Limited Edition) [VHS],8.89,Disney
31,"Double, Double, Toil &amp; Trouble [VHS]",6.5,Children's Music
32,Woodstock - 3 Days of Peace &amp; Music (The Director's Cut),47.85,Rock
33,To Grandmother's House We Go [VHS],24.88,Children's Music
34,Michael Crawford in Concert [VHS],8.97,Vocal Pop
35,Flight of Dragons [VHS],24.0,Children's Music
36,Viva Las Vegas,22.38,Dance Pop
37,The Secret Of NIMH 2 - Timmy To The Rescue [VHS],1.94,Children's Music
38,Storefront Hitchcock,6.64,Alternative Rock
39,The Happiest Baby on the Block Video [VHS],24.99,Instructional
40,Goodbye Worries,12.95,Spoken Word
41,Coleman Hawkins Encounters Ben Webster,14.16,Bebop
42,Delta Sleep System: Fall Asleep / Stay Asleep / Wake Up Rejuvenated,19.3,Meditation
43,Scooby-Doo on Zombie Island [VHS],5.92,Children's Music
44,The Powerpuff Girls - Bubblevicious [VHS],7.22,Children's Music
45,"Meyerbeer - Les Huguenots / Bonynge, Sutherland, Thane, Australian Opera [VHS]",11.95,Classical
46,"Dvorak - Rusalka / Elder, Hannan, Treleaven [VHS]",9.95,Classical
47,American Ballet Theatre Now [VHS],0.0,Classical
48,Monterey Pop [VHS],19.99,Album-Oriented Rock (AOR)
49,Jimi Plays Monterey [VHS],17.99,Psychedelic Rock
50,Alice Cooper: Welcome to My Nightmare,5.0,Metal
51,Bobby Darin: Mack is Back (1973),79.99,Vocal Pop
52,Elvis '56 - In the Beginning,10.49,Rock
53,Bernadette Peters in Concert [VHS],12.95,Vocal Pop
54,"Gilbert &amp; Sullivan - Iolanthe / Forrester, Donkin, Stratford Festival",19.24,Classical
55,"Gilbert &amp; Sullivan - The Pirates of Penzance / Hyslop, Tomlin, Carver, Stratford Festival",19.74,Classical
56,Legends of Radio: Shadow,7.86,Comedy & Spoken Word
